rep,condition,impl,ns_op
1,default,baseline,8.1
1,default,full-barrier,18.6
1,default,cas-announce,8.1
1,rel-plain,baseline,8.3
1,rel-plain,full-barrier,20.0
1,rel-plain,cas-announce,8.6
1,rel-exch,baseline,8.5
1,rel-exch,full-barrier,19.3
1,rel-exch,cas-announce,15.4
1,drain-plain,baseline,8.3
1,drain-plain,full-barrier,19.8
1,drain-plain,cas-announce,8.8
2,default,baseline,8.6
2,default,full-barrier,20.2
2,default,cas-announce,8.4
2,rel-plain,baseline,8.2
2,rel-plain,full-barrier,18.6
2,rel-plain,cas-announce,8.5
2,rel-exch,baseline,8.4
2,rel-exch,full-barrier,18.3
2,rel-exch,cas-announce,14.9
2,drain-plain,baseline,8.1
2,drain-plain,full-barrier,17.9
2,drain-plain,cas-announce,8.4
3,default,baseline,8.2
3,default,full-barrier,18.3
3,default,cas-announce,8.6
3,rel-plain,baseline,8.6
3,rel-plain,full-barrier,19.0
3,rel-plain,cas-announce,8.8
3,rel-exch,baseline,8.7
3,rel-exch,full-barrier,19.0
3,rel-exch,cas-announce,15.2
3,drain-plain,baseline,8.3
3,drain-plain,full-barrier,19.5
3,drain-plain,cas-announce,8.3
4,default,baseline,8.6
4,default,full-barrier,20.3
4,default,cas-announce,9.2
4,rel-plain,baseline,9.3
4,rel-plain,full-barrier,18.1
4,rel-plain,cas-announce,8.7
4,rel-exch,baseline,9.0
4,rel-exch,full-barrier,18.6
4,rel-exch,cas-announce,14.8
4,drain-plain,baseline,8.1
4,drain-plain,full-barrier,18.9
4,drain-plain,cas-announce,8.2
