"rep","arm","violations","sampled","knobs"
"1","baseline","3","1196102","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"1","cas+plain","0","3890370","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"1","cas+release","0","3147806","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=release"
"1","cas+acqload","0","3437386","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
"2","baseline","50984","2940107","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"2","cas+plain","0","6420086","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"2","cas+release","0","3345942","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=release"
"2","cas+acqload","0","5167155","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
"3","baseline","36","2326312","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"3","cas+plain","0","4380305","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"3","cas+release","0","3541438","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=release"
"3","cas+acqload","0","3581360","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
"4","baseline","4","1235732","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"4","cas+plain","0","4659561","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"4","cas+release","0","4371862","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=release"
"4","cas+acqload","0","4322005","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
