"name","impl","pattern","refreshOrder","args","status","exitCode","wallSeconds","reportedSeconds","violations","sampledRounds","slotReuse","stdout","stderr"
"sensitivity-baseline-bare","baseline","bare","","--impl baseline --pattern bare --quarantine --rounds 3000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","CRASHED_NONZERO","1","8.469","8.4","13","","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\sensitivity-baseline-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\sensitivity-baseline-bare.err.txt"
"sensitivity-baseline-resume-and-refresh","baseline","resume-and-refresh","","--impl baseline --pattern resume-and-refresh --quarantine --rounds 3000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","CRASHED_NONZERO","1","7.864","7.8","5","","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\sensitivity-baseline-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\sensitivity-baseline-resume-and-refresh.err.txt"
"quarantine-baseline-bare","baseline","bare","","--impl baseline --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","3.031","2.9","","128,402","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-baseline-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-baseline-bare.err.txt"
"quarantine-fullbarrier-bare","fullbarrier","bare","","--impl fullbarrier --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","2.82","2.7","","95,607","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-fullbarrier-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-fullbarrier-bare.err.txt"
"quarantine-casannounce-plain-bare","casannounce","bare","","--impl casannounce --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","3.291","3.2","","136,253","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-plain-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-plain-bare.err.txt"
"quarantine-casannounce-release-bare","casannounce","bare","release","--impl casannounce --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","3.187","3.1","","135,026","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-release-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-release-bare.err.txt"
"quarantine-casannounce-fence-bare","casannounce","bare","fence","--impl casannounce --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","2.768","2.7","","88,258","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-fence-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-fence-bare.err.txt"
"quarantine-casannounce-acqload-bare","casannounce","bare","acqload","--impl casannounce --pattern bare --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","3.592","3.5","","157,325","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-acqload-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-casannounce-acqload-bare.err.txt"
"quarantine-baseline-resume-and-refresh","baseline","resume-and-refresh","","--impl baseline --pattern resume-and-refresh --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","CRASHED_NONZERO","1","1.507","1.4","2","","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-baseline-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-baseline-resume-and-refresh.err.txt"
"quarantine-fullbarrier-resume-and-refresh","fullbarrier","resume-and-refresh","","--impl fullbarrier --pattern resume-and-refresh --quarantine --rounds 1000000 --deref 20000 --pairs 1 --reader-core 2 --reclaimer-core 0 --disturber-cores 4,6,8,10 --reclaimer-delay 0","SURVIVED_EXIT0","0","1.813","1.7","","12,207","","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-fullbarrier-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-20260728\quarantine-fullbarrier-resume-and-refresh.err.txt"
