"name","impl","pattern","acquireOrder","refreshOrder","banner","status","exitCode","wallSeconds","reportedSeconds","violations","sampledRounds","slotReuse","stdout","stderr"
"sensitivity-baseline-bare","baseline","bare","","","LE_ACQUIRE_ORDER=cas  LE_REFRESH_ORDER=plain","CRASHED_NONZERO","1","4.421","4.3","1","","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\sensitivity-baseline-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\sensitivity-baseline-bare.err.txt"
"sensitivity-baseline-resume-and-refresh","baseline","resume-and-refresh","","","LE_ACQUIRE_ORDER=cas  LE_REFRESH_ORDER=plain","CRASHED_NONZERO","1","9.656","9.6","2","","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\sensitivity-baseline-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\sensitivity-baseline-resume-and-refresh.err.txt"
"quarantine-casannounce-acqfence-refresh-plain-bare","casannounce","bare","fence","","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=plain","SURVIVED_EXIT0","0","3.951","3.9","","178,228","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-plain-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-plain-bare.err.txt"
"quarantine-casannounce-acqfence-refresh-acqload-bare","casannounce","bare","fence","acqload","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=acqload","SURVIVED_EXIT0","0","1.495","1.4","","23,063","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-acqload-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-acqload-bare.err.txt"
"quarantine-casannounce-acqfence-refresh-plain-resume-and-refresh","casannounce","resume-and-refresh","fence","","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=plain","SURVIVED_EXIT0","0","3.751","3.7","","163,005","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-plain-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-plain-resume-and-refresh.err.txt"
"quarantine-casannounce-acqfence-refresh-acqload-resume-and-refresh","casannounce","resume-and-refresh","fence","acqload","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=acqload","SURVIVED_EXIT0","0","1.553","1.5","","34,259","","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-acqload-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\quarantine-casannounce-acqfence-refresh-acqload-resume-and-refresh.err.txt"
"shared-casannounce-acqfence-refresh-plain-bare","casannounce","bare","fence","","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=plain","SURVIVED_EXIT0","0","4.687","4.6","","","8/8 slots held by >1 thread, max 8 distinct threads on one slot","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-plain-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-plain-bare.err.txt"
"shared-casannounce-acqfence-refresh-acqload-bare","casannounce","bare","fence","acqload","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=acqload","SURVIVED_EXIT0","0","6.155","6.1","","","8/8 slots held by >1 thread, max 8 distinct threads on one slot","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-acqload-bare.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-acqload-bare.err.txt"
"shared-casannounce-acqfence-refresh-plain-resume-and-refresh","casannounce","resume-and-refresh","fence","","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=plain","SURVIVED_EXIT0","0","3.87","3.8","","","8/8 slots held by >1 thread, max 8 distinct threads on one slot","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-plain-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-plain-resume-and-refresh.err.txt"
"shared-casannounce-acqfence-refresh-acqload-resume-and-refresh","casannounce","resume-and-refresh","fence","acqload","LE_ACQUIRE_ORDER=fence  LE_REFRESH_ORDER=acqload","SURVIVED_EXIT0","0","5.46","5.4","","","8/8 slots held by >1 thread, max 8 distinct threads on one slot","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-acqload-resume-and-refresh.out.txt","Q:\src\lightepoch-tla\artifacts\x86-local-acquire-fence-20260728\shared-casannounce-acqfence-refresh-acqload-resume-and-refresh.err.txt"
